city,cell_id,metric,benchmark_count,human_miles,waymo_miles
LOS_ANGELES,9278183670751952896,airbag,3.0,10911903.911714323,9611.247033705455
LOS_ANGELES,9278183705111691264,airbag,1.923667153284672,20596121.843910433,8213.398850844636
LOS_ANGELES,9278183739471429632,airbag,2.0,13818847.456840355,12810.05598113049
LOS_ANGELES,9278183773831168000,airbag,4.0,14206245.882676529,16284.191842677492
LOS_ANGELES,9278183808190906368,airbag,6.0,28702444.278962404,38616.41645762758
LOS_ANGELES,9278183842550644736,airbag,12.0,31974516.71397249,100719.95634986083
LOS_ANGELES,9278183876910383104,airbag,11.0,24433710.443851,75256.39033744363
LOS_ANGELES,9278183911270121472,airbag,6.0,12822429.768351687,21260.79987481674
LOS_ANGELES,9278183945629859840,airbag,15.0,17428136.386974722,39049.76279538288
LOS_ANGELES,9278183979989598208,airbag,20.0,19037926.969158158,48954.533544211976
LOS_ANGELES,9278184014349336576,airbag,26.0,21702463.07058877,47910.90739127615
LOS_ANGELES,9278184048709074944,airbag,17.0,20205625.360721674,23354.531728059734
LOS_ANGELES,9278184083068813312,airbag,28.0,25612866.46158356,51199.22298967133
LOS_ANGELES,9278184117428551680,airbag,28.0,21163031.8147453,38861.70290055055
LOS_ANGELES,9278184151788290048,airbag,3.0,7216232.264826061,4993.051026878625
LOS_ANGELES,9278184186148028416,airbag,1.0,17702065.036761984,28030.160915199634
LOS_ANGELES,9278184220507766784,airbag,11.923667153284672,24367518.908999413,25961.156923000843
LOS_ANGELES,9278184254867505152,airbag,2.0,24620026.21735934,49890.098801135246
LOS_ANGELES,9278184289227243520,airbag,12.923667153284672,25384195.566254362,43170.09431884934
LOS_ANGELES,9278184323586981888,airbag,5.0,24351145.112795003,31579.586911980998
LOS_ANGELES,9278184357946720256,airbag,0.0,15649250.290723594,26226.656448754966
LOS_ANGELES,9278184392306458624,airbag,5.0,16884098.99320222,51264.042853686835
LOS_ANGELES,9278184426666196992,airbag,0.0,22434124.774780225,76053.2774674744
LOS_ANGELES,9278184461025935360,airbag,12.847334306569344,31424221.61740878,86094.70399568805
LOS_ANGELES,9278184495385673728,airbag,16.0,27932401.283578094,47615.20244887027
LOS_ANGELES,9278184529745412096,airbag,8.0,20985738.406804506,28241.779914598006
LOS_ANGELES,9278184564105150464,airbag,6.0,25998432.040112466,18537.488539977792
