year,mode,manufacturer,vin,miles,reported_events
2020,safety-driver,Cruise,5G21A6P06L4100057,9220.39,3
2020,safety-driver,Cruise,5G21A6P06L4100060,5258.37,0
2020,safety-driver,Cruise,5G21A6P06L4100074,9010.27,2
2020,safety-driver,Cruise,5G21A6P06L4100124,9732.66,0
2020,safety-driver,Cruise,5G21A6P06L4100141,5637.64,1
2020,safety-driver,Cruise,5G21A6P06L4100169,9027.41,0
2020,safety-driver,Cruise,5G21A6P06L4100172,8937.7,0
2020,safety-driver,Cruise,5G21A6P06L4100186,6176.37,0
2020,safety-driver,Cruise,5G21A6P06L4110751,1031.35,0
2020,safety-driver,Cruise,5G21A6P07L4100004,9189.5,0
2020,safety-driver,Cruise,5G21A6P07L4100021,1121.02,0
2020,safety-driver,Cruise,5G21A6P07L4100035,2220.41,0
2020,safety-driver,Cruise,5G21A6P07L4100049,8065.8,0
2020,safety-driver,Cruise,5G21A6P07L4100052,5.87,0
2020,safety-driver,Cruise,5G21A6P07L4100066,7219.06,0
2020,safety-driver,Cruise,5G21A6P07L4100083,8543.49,0
2020,safety-driver,Cruise,5G21A6P07L4100102,6358.52,0
2020,safety-driver,Cruise,5G21A6P07L4100116,10124.45,0
2020,safety-driver,Cruise,5G21A6P07L4100164,7055.46,1
2020,safety-driver,Cruise,5G21A6P07L4100178,8718.69,0
2020,safety-driver,Cruise,5G21A6P07L4100181,8954.52,0
2020,safety-driver,Cruise,5G21A6P08L4100013,2503.22,0
2020,safety-driver,Cruise,5G21A6P08L4100030,836.69,0
2020,safety-driver,Cruise,5G21A6P08L4100044,2122.51,0
2020,safety-driver,Cruise,5G21A6P08L4100058,6970.18,1
2020,safety-driver,Cruise,5G21A6P08L4100061,6649.12,0
2020,safety-driver,Cruise,5G21A6P08L4100075,3521.34,0
2020,safety-driver,Cruise,5G21A6P08L4100125,2181.72,0
2020,safety-driver,Cruise,5G21A6P08L4100139,6386.25,0
2020,safety-driver,Cruise,5G21A6P08L4100142,10386.27,1
2020,safety-driver,Cruise,5G21A6P08L4100173,7539.69,0
2020,safety-driver,Cruise,5G21A6P08L4100187,8672.74,2
2020,safety-driver,Cruise,5G21A6P08L4110752,1574.99,0
2020,safety-driver,Cruise,5G21A6P09L4100005,2564.72,0
2020,safety-driver,Cruise,5G21A6P09L4100022,33.66,0
2020,safety-driver,Cruise,5G21A6P09L4100036,723.89,0
2020,safety-driver,Cruise,5G21A6P09L4100053,1616.67,0
2020,safety-driver,Cruise,5G21A6P09L4100067,3636.63,0
2020,safety-driver,Cruise,5G21A6P09L4100070,8446.09,2
2020,safety-driver,Cruise,5G21A6P09L4100084,3733.39,0
2020,safety-driver,Cruise,5G21A6P09L4100103,7370.47,0
2020,safety-driver,Cruise,5G21A6P09L4100117,4240.27,0
2020,safety-driver,Cruise,5G21A6P09L4100120,10918.81,0
2020,safety-driver,Cruise,5G21A6P09L4100134,4190.98,0
2020,safety-driver,Cruise,5G21A6P09L4100165,10326.98,0
2020,safety-driver,Cruise,5G21A6P09L4100179,7157.98,0
2020,safety-driver,Cruise,5G21A6P09L4100182,2560.88,0
2020,safety-driver,Cruise,5G21A6P0XL4100014,7020.26,0
2020,safety-driver,Cruise,5G21A6P0XL4100045,3206.84,0
2020,safety-driver,Cruise,5G21A6P0XL4100059,4286.17,0
2020,safety-driver,Cruise,5G21A6P0XL4100062,544.62,0
2020,safety-driver,Cruise,5G21A6P0XL4100076,4992.59,0
2020,safety-driver,Cruise,5G21A6P0XL4100126,2571.4,0
2020,safety-driver,Cruise,5G21A6P0XL4100143,8834.88,0
2020,safety-driver,Cruise,5G21A6P0XL4100160,5124.33,0
2020,safety-driver,Cruise,5G21A6P0XL4100174,18.19,0
2020,safety-driver,Cruise,5G21A6P0XL4100188,6473.63,0
2020,safety-driver,Cruise,5G21A6P0XL4100191,6727.43,0
2020,safety-driver,Cruise,5G21A6P0XL4110753,2982.64,0
2020,safety-driver,DiDi,1N4AZ1CP5KC300293,11.7,0
2020,safety-driver,DiDi,1N4AZ1CP6JC304058,5.28,0
2020,safety-driver,DiDi,3LN6L5LU2HR663008,1280.39,0
2020,safety-driver,DiDi,3LN6L5LU5JR619400,1626.24,0
2020,safety-driver,DiDi,3LN6L5MU0JR618055,918.75,0
2020,safety-driver,DiDi,3LN6L5MU1JR609431,444.32,0
2020,safety-driver,DiDi,3LN6L5MU3JR619538,1134.73,1
2020,safety-driver,DiDi,3LN6L5MU4JR608032,395.83,1
2020,safety-driver,DiDi,3LN6L5MU4JR609133,828.79,0
2020,safety-driver,DiDi,3LN6L5MU4JR611142,1480.61,0
2020,safety-driver,DiDi,3LN6L5MU5JR618049,824.85,0
2020,safety-driver,DiDi,3LN6L5MU7JR611619,1450.0,0
2020,safety-driver,EasyMile,VJRD1A10224000022,424.0,128
