year,mode,manufacturer,date,date_in_period,vin,driverless_capable,driver_present,initiated_by,location,cause_text,cause_category
2020,safety-driver,Apple,2020-02-24T00:00:00,True,2T2BGMCA5HC014389,False,True,AV System,Street,Motion planning unable to produce valid trajectory,Planning
2020,safety-driver,Apple,2020-02-25T00:00:00,True,2T2BGMCA6GC007983,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-06-09T00:00:00,True,2T2BGMCA5HC014389,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-06-10T00:00:00,True,2T2BGMCA5HC014389,False,True,AV System,Highway,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-06-11T00:00:00,True,2T2BGMCA5HC014389,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-06-12T00:00:00,True,2T2BGMCA4HC020118,False,True,Test Driver,Street,Reduced visibility of a vehicle due to occlusions resulted in an undesirable motion plan,Unknown
2020,safety-driver,Apple,2020-06-17T00:00:00,True,2T2BGMCA5HC014389,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-06-25T00:00:00,True,2T2BGMCA2HC020151,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-07-10T00:00:00,True,2T2BGMCA5HC014389,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan violating keep clear zone,Planning
2020,safety-driver,Apple,2020-07-10T00:00:00,True,2T2BGMCA5HC014389,False,True,Test Driver,Street,Incorrect perception of traffic signal lead to undesirable motion plan,Perception
2020,safety-driver,Apple,2020-07-13T00:00:00,True,2T2BGMCA5HC014389,False,True,Test Driver,Street,Hardware diagnostic detected hardware health issue,Perception
2020,safety-driver,Apple,2020-07-14T00:00:00,True,2T2BGMCA5HC014389,False,True,Test Driver,Street,System issue interrupted driving algorithm,Hardware-Software
2020,safety-driver,Apple,2020-07-14T00:00:00,True,2T2BGMCA5HC014389,False,True,Test Driver,Street,Hardware diagnostic detected hardware health issue,Perception
2020,safety-driver,Apple,2020-07-15T00:00:00,True,2T2BGMCA5HC014389,False,True,Test Driver,Street,Undesireable motion plan violating keep clear zone,Unknown
2020,safety-driver,Apple,2020-07-17T00:00:00,True,2T2BGMCA5HC014389,False,True,Test Driver,Street,Incorrect prediction of parked vehicle caused undesirable motion plan,Planning
